game_id,team,passer_id,dropbacks,qb_epa
2020_14_TEN_JAX,JAX,00-0030520,23,-7.226772978718517
2020_14_TEN_JAX,JAX,00-0035289,33,1.0977830645861104
2020_14_TEN_JAX,TEN,00-0029701,25,9.567265640494293
2020_14_WAS_SF,SF,00-0033319,50,-23.34726974043576
2020_14_WAS_SF,WAS,00-0023436,20,-12.018566448565611
2020_14_WAS_SF,WAS,00-0035232,13,-4.680826547407342
2020_14_WAS_SF,WAS,00-0036142,1,-0.5597911037039012
2020_15_BUF_DEN,BUF,00-0034857,43,29.83611868909793
2020_15_BUF_DEN,DEN,00-0035704,39,-12.527560178200625
2020_15_CAR_GB,CAR,00-0031237,41,6.233907887247515
2020_15_CAR_GB,GB,00-0023459,37,-4.1494806873712005
2020_15_CHI_MIN,CHI,00-0033869,26,7.106923098556478
2020_15_CHI_MIN,MIN,00-0029604,40,4.592433710470362
2020_15_CLE_NYG,CLE,00-0034855,35,21.700188439368503
2020_15_CLE_NYG,NYG,00-0027688,33,3.9681693377794733
2020_15_CLE_NYG,NYG,00-0032943,1,-2.573928223864641
2020_15_DET_TEN,DET,00-0026498,33,15.789704606951764
2020_15_DET_TEN,DET,00-0026544,7,2.403452750586439
2020_15_DET_TEN,TEN,00-0029701,29,23.221009888749332
2020_15_HOU_IND,HOU,00-0033537,49,15.378521014841542
2020_15_HOU_IND,IND,00-0022942,29,9.718859611960307
2020_15_HOU_IND,IND,00-0033119,1,-0.4975446896860376
2020_15_JAX_BAL,BAL,00-0034796,24,14.900626781114847
2020_15_JAX_BAL,BAL,00-0035993,4,-4.108042967272922
2020_15_JAX_BAL,JAX,00-0035289,35,6.525835748761892
2020_15_KC_NO,KC,00-0033873,55,3.7841027403603205
2020_15_KC_NO,NO,00-0020531,36,-4.0169580547516235
2020_15_LAC_LV,LAC,00-0036355,34,21.281868896676293
2020_15_LAC_LV,LV,00-0031280,6,-0.3258834067465477
2020_15_LAC_LV,LV,00-0032268,31,14.74424669299387
2020_15_NE_MIA,MIA,00-0036212,30,0.3810320805590024
2020_15_NE_MIA,MIA,00-0036364,1,0.6161165678640828
2020_15_NE_MIA,NE,00-0027939,32,-0.35225404097785784
2020_15_NYJ_LA,LA,00-0033106,38,-11.373619376251263
2020_15_NYJ_LA,NYJ,00-0034869,35,5.148885090474251
2020_15_PHI_ARI,ARI,00-0022824,1,4.014011434279382
2020_15_PHI_ARI,ARI,00-0035228,39,7.128570885023272
2020_15_PHI_ARI,PHI,00-0036389,55,9.96068651706446
2020_15_PIT_CIN,CIN,00-0035652,16,-0.8560678780527664
2020_15_PIT_CIN,PIT,00-0022924,39,-10.242413667659958
2020_15_SEA_WAS,SEA,00-0029263,30,-1.2237695659695529
2020_15_SEA_WAS,WAS,00-0035232,62,1.982598137590144
2020_15_SF_DAL,DAL,00-0027973,37,-0.17068198852678917
2020_15_SF_DAL,DAL,00-0034418,1,0.15450288751162589
2020_15_SF_DAL,SF,00-0033319,39,0.40214308028225787
2020_15_SF_DAL,SF,00-0033936,7,6.2362157194665
2020_15_TB_ATL,ATL,00-0026143,53,6.852217917708169
2020_15_TB_ATL,TB,00-0019596,48,14.32021332060315
2020_16_ATL_KC,ATL,00-0026143,39,10.798836499371536
2020_16_ATL_KC,KC,00-0031325,1,-1.9586510438239202
2020_16_ATL_KC,KC,00-0033873,46,1.7574433617977325
2020_16_BUF_NE,BUF,00-0030533,3,0.0730653356295079
2020_16_BUF_NE,BUF,00-0034857,37,19.98067377676489
2020_16_BUF_NE,BUF,00-0035290,1,3.115367458667606
2020_16_BUF_NE,NE,00-0027939,14,-3.700588439692161
2020_16_BUF_NE,NE,00-0035264,12,-3.7967282163444906
2020_16_CAR_WAS,CAR,00-0031237,34,-3.2273191933636554
2020_16_CAR_WAS,WAS,00-0031800,23,5.580133008916164
2020_16_CAR_WAS,WAS,00-0035232,30,-16.326079573371462
2020_16_CHI_JAX,CHI,00-0029567,1,-0.785490803187713
2020_16_CHI_JAX,CHI,00-0033869,38,15.215362810195735
2020_16_CHI_JAX,JAX,00-0030520,38,-5.025218777721635
2020_16_CIN_HOU,CIN,00-0032434,37,22.745381723196125
2020_16_CIN_HOU,CIN,00-0032543,1,-0.4890727505553514
2020_16_CIN_HOU,HOU,00-0033537,37,7.846464544267155
2020_16_CLE_NYJ,CLE,00-0034855,55,-9.00293670749782
2020_16_CLE_NYJ,NYJ,00-0031941,1,3.8461674444843084
2020_16_CLE_NYJ,NYJ,00-0034869,37,-0.45436871590156724
2020_16_DEN_LAC,DEN,00-0035704,50,0.1998685202659929
2020_16_DEN_LAC,LAC,00-0036355,38,2.2292618042469514
2020_16_IND_PIT,IND,00-0022942,39,-6.40298673172947
2020_16_IND_PIT,PIT,00-0022924,50,2.9660411556251347
2020_16_LA_SEA,LA,00-0033106,52,-3.95467139374464
2020_16_LA_SEA,SEA,00-0029263,38,4.12385438154349
2020_16_MIA_LV,LV,00-0031280,36,0.1933692116451926
2020_16_MIA_LV,MIA,00-0023682,13,11.621786750466025
2020_16_MIA_LV,MIA,00-0036212,27,-4.846540607861243
2020_16_MIN_NO,MIN,00-0029604,44,5.976854190274142
2020_16_MIN_NO,NO,00-0020531,26,10.579499685014758
2020_16_MIN_NO,NO,00-0033357,2,0.2158150052127894
2020_16_NYG_BAL,BAL,00-0034796,28,11.484154862784393
2020_16_NYG_BAL,NYG,00-0035710,48,-5.657409275945298
2020_16_PHI_DAL,DAL,00-0027973,33,12.024585508236207
2020_16_PHI_DAL,PHI,00-0036389,48,-7.851268584589758
2020_16_SF_ARI,ARI,00-0035228,58,-9.999706086619863
2020_16_SF_ARI,SF,00-0033936,25,2.2820753680689183
2020_16_TB_DET,DET,00-0026498,3,-1.2091841625515372
2020_16_TB_DET,DET,00-0026544,21,-12.516650951118208
2020_16_TB_DET,DET,00-0035040,12,-7.856907082372345
2020_16_TB_DET,TB,00-0019596,28,26.576751331740525
2020_16_TB_DET,TB,00-0027948,17,0.8481711034123482
2020_16_TEN_GB,GB,00-0023459,28,11.107080063811736
